id,label,sex,type,type_detail,age,birth,education,education_background,background,party,state,function,health_sector,health_category,
deutscherpflegerat,Deutscher Pflegerat,99,2,3,99,99,99,99,99,99,99,99,1,5,
deutschesglockenmuseum,Deutsches Glockenmuseum,99,2,3,99,99,99,99,99,99,99,99,2,99,
dfk,Stiftung Deutsches Forum fuer Kriminalpraevention (DFK),99,2,5,99,99,99,99,99,99,99,99,2,99,
dgesgm,Deutsche Gesellschaft fuer geschlechtsspezifische Medizin e.V. (DGesGM),99,2,3,99,99,99,99,99,99,99,99,1,4,
dgthg,"Deutsche Gesellschaft fuer Thorax-, Herz- und Gefaeßchirugie (DGTHG)",99,2,3,99,99,99,99,99,99,99,99,1,4,
dhammastiftung,Dhamma-Stiftung Birkenbeul-Weißenbruechen,99,2,5,99,99,99,99,99,99,99,99,2,99,
dhbw,Duale Hochschule Baden-Wuerttemberg,99,2,2,99,99,99,99,99,99,99,99,2,99,
dhps,Deutsche Hospiz- und Palliativ-Stiftung,99,2,5,99,99,99,99,99,99,99,99,1,5,
dihk,Deutsche Industrie- und Handelskammertag,99,2,3,99,99,99,99,99,99,99,99,2,99,
dkg,Deutsche Krankenhausgesellschaft e.V. (DKG),99,2,3,99,99,99,99,99,99,99,99,1,4,
donumvitae,donum vitae e.V.,99,2,3,99,99,99,99,99,99,99,99,1,5,
donumvitaerosenheim,Donum Vitae Rosenheim,99,2,3,99,99,99,99,99,99,99,99,2,99,
drk,Deutsches Rotes Kreuz,99,2,3,99,99,99,99,99,99,99,99,1,4,
duk,DUK Versorgungswerk e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
dyckmans,Mechthild Dyckmans,1,1,99,5,2,8,5,1,5,7,2,99,99,
eacts,European Association of Cardio Thoracic Surgery (EACTS),99,2,3,99,99,99,99,99,99,99,99,1,4,
ecclesiaholding,Ecclesia Holding GmbH,99,2,2,99,99,99,99,99,99,99,99,2,99,
edelweissmusikverein,Musikverein Edelweiß Sulzbach,99,2,3,99,99,99,99,99,99,99,99,2,99,
einhospizfuertuebingen,"
Ein Hospiz fuer Tuebingen e.V.",99,2,3,99,99,99,99,99,99,99,99,1,4,
ekd,Evangelische Kirche in Deutschland (EKD),99,2,3,99,99,99,99,99,99,99,99,2,99,
ellyheussknappstiftung,Elly Heuss-Knapp Stiftung – Deutsches Muettergenesungswerk Berlin,99,2,5,99,99,99,99,99,99,99,99,1,4,
enmacc,Enmacc GmbH,99,2,2,99,99,99,99,99,99,99,99,2,99,
ergo,ERGO Versicherungsgruppe AG,99,2,2,99,99,99,99,99,99,99,99,1,5,
euausschuss,Ausschuss fuer die Angelegenheiten der Europaeischen Union,99,2,4,99,99,99,99,99,99,99,99,2,99,
eugenbolzstiftung,Eugen-Bolz-Stiftung e.V.,99,2,5,99,99,99,99,99,99,99,99,2,99,
europaeischebewegungdeutschland,Europaeische Bewegung Deutschland e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
europahausmarienberg,Europahaus Marienberg,99,2,5,99,99,99,99,99,99,99,99,2,99,
europauniondeutschland,Europa-Union Deutschland e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
facetoface,face to face GmbH,99,2,2,99,99,99,99,99,99,99,99,1,5,
fachschulefueroekonomie,Fachschule fuer Oekonomie Plauen,99,2,3,99,99,99,99,99,99,99,99,2,99,
familienausschuss,"Ausschuss fuer Familie, Senioren, Frauen und Jugend",99,2,4,99,99,99,99,99,99,99,99,2,99,
familieundberufneuwied,Familie und Beruf e.V. (Neuwied),99,2,3,99,99,99,99,99,99,99,99,2,99,
fdp,Freie Demokratische Partei,99,2,4,99,99,99,99,99,99,99,99,2,99,
fdpbundestagsfraktion,FDP Bundestagsfraktion,99,2,4,99,99,99,99,99,99,99,99,2,99,
fdphessen,FDP Hessen,99,2,4,99,99,99,99,99,99,99,99,2,99,
fes,Friedrich-Ebert-Stiftung,99,2,3,99,99,99,99,99,99,99,99,2,99,
fgderkoerperbehindertemensch,Forschungsgemeinschaft „Der Koerperbehinderte Mensch“,99,2,3,99,99,99,99,99,99,99,99,1,4,
finanzausschuss,Finanzausschuss ,99,2,4,99,99,99,99,99,99,99,99,2,99,
fischbach,Ingrid Fischbach,1,1,99,5,4,8,4,2,1,10,2,99,99,
flach,Ulrike Flach,1,1,99,5,3,7,5,2,5,10,2,99,99,
foerdervereinfreiwilligefeuerwehrsteinbach,Foerderverein der Freiwilligen Feuerwehr Steinebach e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
foerdervereinkinderklinikrosenheim,Foerderverein Kinderklinik Rosenheim,99,2,3,99,99,99,99,99,99,99,99,1,4,
foerdervereinnationalparkeifel,Foerderverein Nationalpark Eifel,99,2,3,99,99,99,99,99,99,99,99,2,99,
fortschrittrosenheim,FortSchritt Rosenheim e.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,
fortum,Fortum,99,2,2,99,99,99,99,99,99,99,99,2,99,
fraunhoferisi,Fraunhofer-Institut fuer System- und Innovationsforschung,99,2,3,99,99,99,99,99,99,99,99,2,99,
friedrichnaumannstiftung,Friedrich-Naumann-Stiftung fuer die Freiheit,99,2,5,99,99,99,99,99,99,99,99,2,99,
fu,Frauen-Union der CDU Deutschlands,99,2,4,99,99,99,99,99,99,99,99,2,99,
gbs,Giordano Bruno Stiftung,99,2,5,99,99,99,99,99,99,99,99,2,99,
gdv,Gesamtverband der Deutschen Versicherungswirtschaft,99,2,2,99,99,99,99,99,99,99,99,2,99,
gebhart,Thomas Gebhart,2,1,99,3,2,9,1,1,1,11,2,99,99,
gematik,gematik GmbH,99,2,2,99,99,99,99,99,99,99,99,1,5,
