id,label,sex,type,type_detail,period,age,birth,education,education_background,background,party,state,function,health_sector,health_category
technischehochschulezwickau,TH Zwickau,99,2,3,99,99,99,99,99,99,99,99,99,2,99
neuesforum,Neues Forum,99,2,3,99,99,99,99,99,99,99,99,99,2,99
seeheimerkreis,Seeheimer Kreis,99,2,3,99,99,99,99,99,99,99,99,99,2,99
gbs,Giordano Bruno Stiftung,99,2,5,99,99,99,99,99,99,99,99,99,2,99
ifw,Institut für Weltanschauungsrecht,99,2,3,99,99,99,99,99,99,99,99,99,2,99
fes,Friedrich-Ebert-Stiftung,99,2,3,99,99,99,99,99,99,99,99,99,2,99
vereinvogtland,Verein Vogtland 89 e.V.,99,2,3,99,99,99,99,99,99,99,99,99,2,99
seakularesozialdemokratinnen,Säkulare Sozialdemokrat_innen,99,2,3,99,99,99,99,99,99,99,99,99,2,99
fachschulefueroekonomie,Fachschule für Ökonomie Plauen,99,2,3,99,99,99,99,99,99,99,99,99,2,99
gesamthochschuleduisburg,Gesamthochschule Duisburg,99,2,3,99,99,99,99,99,99,99,99,99,2,99
wuwien,Wirtschaftsuniversität Wien,99,2,3,99,99,99,99,99,99,99,99,99,2,99
unitrier,Universität Trier,99,2,3,99,99,99,99,99,99,99,99,99,2,99
fraunhoferisi,Fraunhofer-Institut für System- und Innovationsforschung,99,2,3,99,99,99,99,99,99,99,99,99,2,99
rhoenklinikum,Rhön-Klinikum AG,99,2,2,99,99,99,99,99,99,99,99,99,1,3
pkv,Verband der privaten Krankenversicherung,99,2,2,99,99,99,99,99,99,99,99,99,1,5
gematik,gematik GmbH,99,2,2,99,99,99,99,99,99,99,99,99,1,5
euausschuss,Ausschuss für die Angelegenheiten der Europäischen Union – Mitglied,99,2,4,99,99,99,99,99,99,99,99,99,2,99
innenausschuss,Innenausschuss – stellv. Mitglied,99,2,4,99,99,99,99,99,99,99,99,99,2,99
familienausschuss,"Ausschuss für Familie, Senioren, Frauen und Jugend – stellv. Mitglied",99,2,4,99,99,99,99,99,99,99,99,99,2,99
gesundheitsausschuss,Ausschuss für Gesundheit – Mitglied,99,2,4,99,99,99,99,99,99,99,99,99,1,5
finanzausschuss,Finanzausschuss ,99,2,4,99,99,99,99,99,99,99,99,99,2,99
sportausschuss,Sportausschuss ,99,2,4,99,99,99,99,99,99,99,99,99,2,99
bildungsausschuss,"Ausschuss für Bildung, Forschung und Technikfolgenabschätzung",99,2,4,99,99,99,99,99,99,99,99,99,2,99
menschenrechtsausschuss,Ausschuss für Menschenrechte und humanitäre Hilfe ,99,2,4,99,99,99,99,99,99,99,99,99,2,99
rechtsausschuss,Rechtsausschuss,99,2,4,99,99,99,99,99,99,99,99,99,2,99
gemeinsamerausschuss,Gemeinsamer Ausschuss ,99,2,4,99,99,99,99,99,99,99,99,99,2,99
vermittlungsausschuss,Vermittlungsausschuss,99,2,4,99,99,99,99,99,99,99,99,99,2,99
minesteriumderjustiz,Minesterium der Justiz (DDR),99,2,4,99,99,99,99,99,99,99,99,99,2,99
haushaltsausschuss,Haushaltsausschuss,99,2,4,99,99,99,99,99,99,99,99,99,2,99
bundeskanzleramt,Bundeskanzleramt,99,2,4,99,99,99,99,99,99,99,99,99,2,99
minesteriumfuerarbeitnrw,Minesterium für Arbeit Gesundheit und Soziales NRW,99,2,4,99,99,99,99,99,99,99,99,1,1,99
minesteriumfuersozialesundgesundheitthueringen,Minesterium für Soziales und Gesundheit Thüringen,99,2,4,99,99,99,99,99,99,99,99,1,1,5
senatsverwaltungfuerarbeitsozialesundfrauenberlin,"Senatsverwaltung für Arbeit, Soziales und Frauen",99,2,4,99,99,99,99,99,99,99,99,1,1,5
minesteriumfuerwirtschaftarbeitundverkehrnrw,Minesterium für Wirtschaft Arbeit und Verkehr NRW,99,2,4,99,99,99,99,99,99,99,99,99,2,5
minesteriumfuerwirtschaftarbeitundverkehrniedersachsen,Minesterium für Wirtschaft Arbeit und Verkehr Niedersachsen,99,2,4,99,99,99,99,99,99,99,99,99,2,5
nato,NATO (North Atlantic Treaty Organization),99,2,3,99,99,99,99,99,99,99,99,99,1,99
auswaertigekulturundbildungspolitik,Auswärtige Kultur- und Bildungspolitik,99,2,4,99,99,99,99,99,99,99,99,99,1,5
auswaertigerausschuss,Auswärtiger Ausschuss,99,2,4,99,99,99,99,99,99,99,99,99,1,5
ausschussfuerkulturundmedien,Ausschuss für Kultur und Medien,99,2,4,99,99,99,99,99,99,99,99,99,1,5
kunstbeirat,Kunstbeirat,99,2,4,99,99,99,99,99,99,99,99,99,1,99
spd,SPD (Sozialdemokratische Partei Deutschlands),99,2,4,99,99,99,99,99,99,99,99,99,2,99
dhbw,Duale Hochschule Baden-Württemberg,99,2,2,99,99,99,99,99,99,99,99,99,2,99
totolottogmbh,Staatliche Toto-Lotto GmbH Baden-Württemberg,99,2,2,99,99,99,99,99,99,99,99,99,2,99
kommunalpolitischesforschungsinstitut,Kommunalpolitisches Forschungsinstitut,99,2,2,99,99,99,99,99,99,99,99,99,2,99
hochschulefueroeffentlicheverwaltungkehl,Hochschule für öffentliche Verwaltung Kehl,99,2,2,99,99,99,99,99,99,99,99,99,2,99
landkreisloerrach,Landkreis Lörrach,99,2,99,99,99,99,99,99,99,99,99,99,2,99
